Actor,Betweenness
Michael Gambon,0.0
Irvin Kershner,0.0
Gary Kurtz,0.0
Leigh Brackett,0.0
Lawrence Kasdan,0.0
George Lucas,0.0
Leonardo DiCaprio,0.0
Ken Watanabe,0.0
Ellen Page,0.0
Tom Berenger,0.0
Lukas Haas,0.0
Dileep Rao,0.0
Talulah Riley,0.0
Jack Nicholson,0.0
Louise Fletcher,0.0
William Redfield,0.0
Scatman Crothers,0.0
Christopher Lloyd,0.0
Will Sampson,0.0
Michael Berryman,0.0
William Duell,0.0
Vincent Schiavelli,0.0
Miloš Forman,0.0
Bo Goldman,0.0
Lawrence Hauben,0.0
Michael Douglas,0.0
Gary Sinise,0.0
Mykelti Williamson,0.0
Sally Field,0.0
Haley Joel Osment,0.0
Robert Zemeckis,0.0
Winston Groom,0.0
Eric Roth,0.0
Ray Liotta,0.0
Joe Pesci,0.0
Lorraine Bracco,0.0
Tony Darrow,0.0
Mike Starr,0.0
Frank Vincent,0.0
Debi Mazar,0.0
Michael Imperioli,0.0
Paul Sorvino,0.0
Martin Scorsese,0.0
Nicholas Pileggi,0.0
Irwin Winkler,0.0
Olivia Tennet,0.0
Peter Cushing,0.0
Phil Brown,0.0
Shelagh Fraser,0.0
Roger Lloyd-Pack,0.0
William Hootkins,0.0
Malcolm Tierney,0.0
Eddie Byrne,0.0
Denis Lawson,0.0
Garrick Hagon,0.0
Joe Johnston,0.0
Chuck Palahniuk,0.0
Amber Heard,0.0
Hailee Steinfeld,0.0
Connie Nielsen,0.0
Joseph McGinty Nichol,0.0
Luc Besson,0.0
Adi Hasak,0.0
Eva Green,0.0
Lena Headey,0.0
Callan Mulvey,0.0
Rodrigo Santoro,0.0
Jack O'Connell,0.0
Andrew Tiernan,0.0
Andrew Pleavin,0.0
Hans Matheson,0.0
Zach Snyder,0.0
Noam Murro,0.0
Kurt Johnstad,0.0
Bradley Cooper,0.0
Jennifer Lawrence,0.0
Louis C.K.,0.0
Jack Huston,0.0
Michael Peña,0.0
Alessandro Nivola,0.0
Elisabeth Röhm,0.0
Dawn Olivieri,0.0
Erica McDermott,0.0
Colleen Camp,0.0
Shea Whigham,0.0
Saïd Taghmaoui,0.0
David O. Russell,0.0
Eric Singer,0.0
Kristen Bell,0.0
Idina Menzel,0.0
Josh Gad,0.0
Alan Tudyk,0.0
Christopher Williams,0.0
Stephen J. Anderson,0.0
Edie McClurg,0.0
Robert Pine,0.0
Maurice LaMarche,0.0
Chris Buck,0.0
John Lasseter,0.0
Jennifer Lee,0.0
Shane Morris,0.0
Sandra Bullock,0.0
Ed Harris,0.0
Alfonso Cuarón,0.0
David Heyman,0.0
Jonás Cuarón,0.0
John Goodman,0.0
Hugh Bonneville,0.0
Jean Dujardin,0.0
Bob Balaban,0.0
Dimitri Leonidas,0.0
Zahary Baharov,0.0
Grant Heslov,0.0
Channing Tatum,0.0
Jonah Hill,0.0
Elizabeth Banks,0.0
Will Ferrell,0.0
Angela Scope,0.0
Jessica Thompson,0.0
James Thompson,0.0
Kang-ho Song,0.0
Sun-kyun Lee,0.0
Yeo-jeong Jo,0.0
Woo-sik Choi,0.0
So-dam Park,0.0
Joaquin Phoenix,0.0
Robert De Niro,0.0
Zazie Beetz,0.0
Joe Pantoliano,0.0
Marcus Chong,0.0
Matt Doran,0.0
Anthony Ray Parker,0.0
Ada Nicodemou,0.0
Rowan Witt,0.0
Lily Wachowski,0.0
Lana Wachowski,0.0
Joel Silver,0.0
Adrian Rayment,0.0
Neil Rayment,0.0
Daniel Bernhardt,0.0
Steve Bastoni,0.0
Nash Edgerton,0.0
